order_id,tanggal_transaksi,tanggal,bulan,bulan_num,tahun,hari,jam,channel_penjualan,store_id,store_name,tipe_toko,kota,provinsi,customer_id,jenis_kelamin,kelompok_usia,tipe_pelanggan,product_id,nama_produk,kategori,sub_kategori,brand,qty,harga_list,harga_jual,diskon_persen,total_penjualan,biaya_produksi,biaya_pengiriman,biaya_platform,biaya_packing,total_biaya,profit,margin_persen,metode_pembayaran,event_promo
ORD000001,2024-01-01 08:06,2024-01-01,January,1,2024,Senin,8,Tokopedia,ONLINE,Tokopedia - Semarang,Online,Semarang,Jawa Tengah,CUST04847,Pria,45-54,Non-Member,PRD011,Totebag Kanvas,Aksesoris,Tas,Nexus Bag,3,89000,71200,20,213600,105000,18000,7476,2000,132476,81124,37.98,Transfer,Year End Sale
ORD000002,2024-01-01 08:07,2024-01-01,January,1,2024,Senin,8,Tokopedia,ONLINE,Tokopedia - Pekanbaru,Online,Pekanbaru,Riau,CUST06548,Pria,35-44,Member,PRD025,Sandal Kulit,Footwear,Sandal,Nexus Step,3,189000,151200,20,453600,225000,22000,15876,5000,267876,185724,40.94,OVO,Year End Sale
ORD000003,2024-01-01 08:12,2024-01-01,January,1,2024,Senin,8,Toko,STR011,Nexus Retail Tangerang,Mall,Tangerang,Banten,CUST00317,Wanita,25-34,Non-Member,PRD001,Kaos Polos Katun Lokal,Apparel,Kaos,Nexus,1,99000,79200,20,79200,45000,0,0,0,45000,34200,43.18,QRIS,Year End Sale
ORD000004,2024-01-01 08:13,2024-01-01,January,1,2024,Senin,8,Toko,STR008,Nexus Retail Denpasar,Ruko,Denpasar,Bali,CUST05480,Pria,45-54,Member,PRD015,Tumbler Stainless,Home,Drinkware,Nexus Home,1,129000,96750,25,96750,50000,0,0,0,50000,46750,48.32,QRIS,Year End Sale
ORD000005,2024-01-01 08:14,2024-01-01,January,1,2024,Senin,8,Website,ONLINE,Website - Pekanbaru,Online,Pekanbaru,Riau,CUST01886,Wanita,18-24,Member,PRD005,Dress Batik Modern,Apparel,Dress,Batik Nexus,1,399000,359100,10,359100,180000,30000,8977,4000,222977,136123,37.91,Kartu Kredit,Year End Sale
ORD000006,2024-01-01 08:16,2024-01-01,January,1,2024,Senin,8,Tokopedia,ONLINE,Tokopedia - Banjarmasin,Online,Banjarmasin,Kalimantan Selatan,CUST01968,Wanita,25-34,Non-Member,PRD001,Kaos Polos Katun Lokal,Apparel,Kaos,Nexus,3,99000,74250,25,222750,135000,22000,7796,5000,169796,52954,23.77,OVO,Year End Sale
ORD000007,2024-01-01 08:20,2024-01-01,January,1,2024,Senin,8,Tokopedia,ONLINE,Tokopedia - Pontianak,Online,Pontianak,Kalimantan Barat,CUST05070,Wanita,35-44,Non-Member,PRD010,Topi Snapback,Aksesoris,Topi,Nexus,4,79000,55300,30,221200,120000,25000,7742,5000,157742,63458,28.69,OVO,Year End Sale
ORD000008,2024-01-01 08:33,2024-01-01,January,1,2024,Senin,8,Tokopedia,ONLINE,Tokopedia - Yogyakarta,Online,Yogyakarta,DI Yogyakarta,CUST01330,Wanita,35-44,Non-Member,PRD008,Polo Shirt Premium,Apparel,Polo,Nexus,3,189000,170100,10,510300,255000,20000,17860,2000,294860,215440,42.22,COD,Year End Sale
ORD000009,2024-01-01 08:35,2024-01-01,January,1,2024,Senin,8,Toko,STR007,Nexus Retail Makassar,Mall,Makassar,Sulawesi Selatan,CUST06003,Pria,35-44,Member,PRD010,Topi Snapback,Aksesoris,Topi,Nexus,1,79000,55300,30,55300,30000,0,0,0,30000,25300,45.75,Cash,Year End Sale
ORD000010,2024-01-01 08:39,2024-01-01,January,1,2024,Senin,8,Website,ONLINE,Website - Pekanbaru,Online,Pekanbaru,Riau,CUST02183,Wanita,35-44,Member,PRD011,Totebag Kanvas,Aksesoris,Tas,Nexus Bag,1,89000,80100,10,80100,35000,30000,2002,3000,70002,10098,12.61,Kartu Kredit,Year End Sale
ORD000011,2024-01-01 08:47,2024-01-01,January,1,2024,Senin,8,Toko,STR006,Nexus Retail Yogyakarta,Standalone,Yogyakarta,DI Yogyakarta,CUST04062,Wanita,25-34,Member,PRD023,Sticky Notes Lucu,Stationery,Notes,Nexus Write,1,29000,24650,15,24650,10000,0,0,0,10000,14650,59.43,Debit,Year End Sale
ORD000012,2024-01-01 08:56,2024-01-01,January,1,2024,Senin,8,Shopee,ONLINE,Shopee - Padang,Online,Padang,Sumatera Barat,CUST05400,Pria,18-24,Member,PRD019,Bantal Sofa Batik,Home,Dekorasi,Nexus Home,2,119000,83300,30,166600,90000,25000,6664,2000,123664,42936,25.77,ShopeePay,Year End Sale
ORD000013,2024-01-01 09:06,2024-01-01,January,1,2024,Senin,9,Website,ONLINE,Website - Bekasi,Online,Bekasi,Jawa Barat,CUST07796,Wanita,25-34,Non-Member,PRD013,Ikat Pinggang Kulit,Aksesoris,Belt,Nexus Leather,1,149000,126650,15,126650,60000,9000,3166,2000,74166,52484,41.44,QRIS,Year End Sale
ORD000014,2024-01-01 09:27,2024-01-01,January,1,2024,Senin,9,Shopee,ONLINE,Shopee - Solo,Online,Solo,Jawa Tengah,CUST02711,Pria,35-44,Non-Member,PRD012,Dompet Kulit Lokal,Aksesoris,Dompet,Nexus Leather,2,259000,207200,20,414400,220000,18000,16576,3000,257576,156824,37.84,ShopeePay,Year End Sale
ORD000015,2024-01-01 09:34,2024-01-01,January,1,2024,Senin,9,Toko,STR004,Nexus Retail Medan,Ruko,Medan,Sumatera Utara,CUST01377,Pria,35-44,Member,PRD009,Tas Kanvas Lokal,Aksesoris,Tas,Nexus Bag,2,179000,152150,15,304300,160000,0,0,0,160000,144300,47.42,Kartu Kredit,Year End Sale
ORD000016,2024-01-01 09:35,2024-01-01,January,1,2024,Senin,9,Tokopedia,ONLINE,Tokopedia - Pekanbaru,Online,Pekanbaru,Riau,CUST04379,Pria,35-44,Non-Member,PRD008,Polo Shirt Premium,Apparel,Polo,Nexus,1,189000,160650,15,160650,85000,30000,5622,2000,122622,38028,23.67,GoPay,Year End Sale
ORD000017,2024-01-01 09:35,2024-01-01,January,1,2024,Senin,9,Tokopedia,ONLINE,Tokopedia - Bandung,Online,Bandung,Jawa Barat,CUST07855,Wanita,25-34,Member,PRD002,Hoodie Lokal Premium,Apparel,Hoodie,Nexus,3,249000,211650,15,634950,360000,10000,22223,3000,395223,239727,37.76,OVO,Year End Sale
ORD000018,2024-01-01 09:55,2024-01-01,January,1,2024,Senin,9,Shopee,ONLINE,Shopee - Yogyakarta,Online,Yogyakarta,DI Yogyakarta,CUST02139,Pria,25-34,Member,PRD021,Planner Tahunan,Stationery,Planner,Nexus Write,2,129000,90300,30,180600,100000,20000,7224,5000,132224,48376,26.79,Kartu Kredit,Year End Sale
ORD000019,2024-01-01 09:59,2024-01-01,January,1,2024,Senin,9,Toko,STR009,Nexus Retail Palembang,Mall,Palembang,Sumatera Selatan,CUST02217,Pria,45-54,Non-Member,PRD019,Bantal Sofa Batik,Home,Dekorasi,Nexus Home,3,119000,107100,10,321300,135000,0,0,0,135000,186300,57.98,Debit,Year End Sale
ORD000020,2024-01-01 10:00,2024-01-01,January,1,2024,Senin,10,Shopee,ONLINE,Shopee - Jakarta,Online,Jakarta,DKI Jakarta,CUST05784,Pria,25-34,Non-Member,PRD020,Notebook Daur Ulang,Stationery,Notebook,Nexus Write,3,49000,44100,10,132300,60000,10000,5292,2000,77292,55008,41.58,Transfer,Year End Sale
ORD000021,2024-01-01 10:13,2024-01-01,January,1,2024,Senin,10,Shopee,ONLINE,Shopee - Pontianak,Online,Pontianak,Kalimantan Barat,CUST06166,Pria,35-44,Member,PRD026,Sepatu Slip On,Footwear,Slip On,Nexus Step,2,279000,223200,20,446400,240000,22000,17856,4000,283856,162544,36.41,ShopeePay,Year End Sale
ORD000022,2024-01-01 10:15,2024-01-01,January,1,2024,Senin,10,Tokopedia,ONLINE,Tokopedia - Semarang,Online,Semarang,Jawa Tengah,CUST06808,Pria,18-24,Non-Member,PRD012,Dompet Kulit Lokal,Aksesoris,Dompet,Nexus Leather,1,259000,233100,10,233100,110000,18000,8158,4000,140158,92942,39.87,Transfer,Year End Sale
ORD000023,2024-01-01 10:16,2024-01-01,January,1,2024,Senin,10,Tokopedia,ONLINE,Tokopedia - Banjarmasin,Online,Banjarmasin,Kalimantan Selatan,CUST06995,Pria,55+,Member,PRD010,Topi Snapback,Aksesoris,Topi,Nexus,1,79000,55300,30,55300,30000,35000,1935,5000,71935,-16635,-30.08,OVO,Year End Sale
