order_id;tanggal_transaksi;tanggal;bulan;bulan_num;tahun;hari;jam;channel_penjualan;store_id;store_name;tipe_toko;kota;provinsi;customer_id;jenis_kelamin;kelompok_usia;tipe_pelanggan;product_id;nama_produk;kategori;sub_kategori;brand;qty;harga_list;harga_jual;diskon_persen;total_penjualan;biaya_produksi;biaya_pengiriman;biaya_platform;biaya_packing;total_biaya;profit;margin_persen;metode_pembayaran;event_promo
ORD000001;01/01/2024 08:06;01/01/2024;January;1;2024;Senin;8;Tokopedia;ONLINE;Tokopedia - Semarang;Online;Semarang;Jawa Tengah;CUST04847;Pria;45-54;Non-Member;PRD011;Totebag Kanvas;Aksesoris;Tas;Nexus Bag;3;89000;71200;20;213600;105000;18000;7476;2000;132476;81124;37.98;Transfer;Year End Sale
ORD000002;01/01/2024 08:07;01/01/2024;January;1;2024;Senin;8;Tokopedia;ONLINE;Tokopedia - Pekanbaru;Online;Pekanbaru;Riau;CUST06548;Pria;35-44;Member;PRD025;Sandal Kulit;Footwear;Sandal;Nexus Step;3;189000;151200;20;453600;225000;22000;15876;5000;267876;185724;40.94;OVO;Year End Sale
ORD000003;01/01/2024 08:12;01/01/2024;January;1;2024;Senin;8;Toko;STR011;Nexus Retail Tangerang;Mall;Tangerang;Banten;CUST00317;Wanita;25-34;Non-Member;PRD001;Kaos Polos Katun Lokal;Apparel;Kaos;Nexus;1;99000;79200;20;79200;45000;0;0;0;45000;34200;43.18;QRIS;Year End Sale
ORD000004;01/01/2024 08:13;01/01/2024;January;1;2024;Senin;8;Toko;STR008;Nexus Retail Denpasar;Ruko;Denpasar;Bali;CUST05480;Pria;45-54;Member;PRD015;Tumbler Stainless;Home;Drinkware;Nexus Home;1;129000;96750;25;96750;50000;0;0;0;50000;46750;48.32;QRIS;Year End Sale
ORD000005;01/01/2024 08:14;01/01/2024;January;1;2024;Senin;8;Website;ONLINE;Website - Pekanbaru;Online;Pekanbaru;Riau;CUST01886;Wanita;18-24;Member;PRD005;Dress Batik Modern;Apparel;Dress;Batik Nexus;1;399000;359100;10;359100;180000;30000;8977;4000;222977;136123;37.91;Kartu Kredit;Year End Sale
ORD000006;01/01/2024 08:16;01/01/2024;January;1;2024;Senin;8;Tokopedia;ONLINE;Tokopedia - Banjarmasin;Online;Banjarmasin;Kalimantan Selatan;CUST01968;Wanita;25-34;Non-Member;PRD001;Kaos Polos Katun Lokal;Apparel;Kaos;Nexus;3;99000;74250;25;222750;135000;22000;7796;5000;169796;52954;23.77;OVO;Year End Sale
ORD000007;01/01/2024 08:20;01/01/2024;January;1;2024;Senin;8;Tokopedia;ONLINE;Tokopedia - Pontianak;Online;Pontianak;Kalimantan Barat;CUST05070;Wanita;35-44;Non-Member;PRD010;Topi Snapback;Aksesoris;Topi;Nexus;4;79000;55300;30;221200;120000;25000;7742;5000;157742;63458;28.69;OVO;Year End Sale
ORD000008;01/01/2024 08:33;01/01/2024;January;1;2024;Senin;8;Tokopedia;ONLINE;Tokopedia - Yogyakarta;Online;Yogyakarta;DI Yogyakarta;CUST01330;Wanita;35-44;Non-Member;PRD008;Polo Shirt Premium;Apparel;Polo;Nexus;3;189000;170100;10;510300;255000;20000;17860;2000;294860;215440;42.22;COD;Year End Sale
ORD000009;01/01/2024 08:35;01/01/2024;January;1;2024;Senin;8;Toko;STR007;Nexus Retail Makassar;Mall;Makassar;Sulawesi Selatan;CUST06003;Pria;35-44;Member;PRD010;Topi Snapback;Aksesoris;Topi;Nexus;1;79000;55300;30;55300;30000;0;0;0;30000;25300;45.75;Cash;Year End Sale
ORD000010;01/01/2024 08:39;01/01/2024;January;1;2024;Senin;8;Website;ONLINE;Website - Pekanbaru;Online;Pekanbaru;Riau;CUST02183;Wanita;35-44;Member;PRD011;Totebag Kanvas;Aksesoris;Tas;Nexus Bag;1;89000;80100;10;80100;35000;30000;2002;3000;70002;10098;12.61;Kartu Kredit;Year End Sale
